Function,Class
1393551359,1
1878252531,1
4059116473,1
944864337,1
4037021646,1
4027577254,0
2196454570,1
1147183264,1
3271588027,0
3996072883,1
2003006915,1
2214792324,0
202332581,0
2857630211,1
3102949568,1
2835149730,0
4283468303,1
1010812919,1
1066752499,0
857918509,0
3260533343,0
2733635069,1
4016291779,1
1308558661,0
2919288060,1
4091790305,1
2785826556,0
2960161659,1
3188805887,0
2765097482,1
634398145,1
13377557,1
936241635,1
2084859727,1
1294955861,1
3878134442,1
1693314798,1
1024122112,1
171651618,1
3385517027,1
673776901,1
1953890208,1
2750394243,1
2934697711,1
4116003174,0
679658291,1
1718218465,0
691073264,1
4278550405,1
355794995,1
336878335,1
1442446289,1
2884140872,1
817688768,1
173690398,0
4293848051,1
713749128,0
1070544846,1
2428850181,0
1151686020,0
3672165088,1
4076904981,0
3191258804,1
766709509,1
2002078569,0
1899722496,1
202837091,1
3770888371,1
256897022,1
2823094816,0
858834629,0
1108493084,1
2104868400,0
101287433,1
2275771556,0
470929663,1
1599133656,0
1514427723,0
1143625727,1
2836046085,1
1420758543,1
3840811076,1
1265203029,0
2777483953,1
2197000435,1
2692919181,0
4187705855,1
1950652697,1
8973212,1
491315784,0
1944906867,0
258319823,0
3789361442,0
1263071475,0
16982979,1
1122162904,1
4288643999,1
1090190040,1
4255838549,1
2720012620,1
4106485920,1
792155583,0
3690797919,1
1057350344,1
863983407,1
4038548091,1
260902846,1
1328792320,1
490468667,1
4001065578,0
2868834352,1
94570927,1
671755520,1
3272542914,0
4125908309,1
61429500,0
2070969099,0
856805189,0
1326126674,1
3481831304,1
635379920,1
2566943879,1
2273817810,1
3347572551,1
1874874623,0
3702141183,1
1221585487,1
4278502975,1
1007640428,0
1329794818,1
825462576,1
69075184,1
3477585968,1
201567831,0
3525190161,0
660799471,1
1127206691,1
4283235844,1
2062681228,1
4044276238,0
504372750,0
4264777213,1
2581402589,1
867234752,1
1146768213,0
4107006976,1
3611713367,1
13578439,1
1599448458,1
1413443599,1
4294675852,1
573828604,0
10051546,1
1974493141,1
1849651135,1
3489602043,1
183935068,0
3715570740,0
386916123,1
581374389,0
4227830531,1
3577937674,1
3622139767,1
80542547,1
137002794,1
3293298,1
3455027386,1
1066273530,1
2304713599,1
4293972240,1
2751449087,1
126688,0
2353309157,1
1827422400,1
535622143,1
4024610688,1
2231502088,1
605818879,1
2652779519,1
1493371990,0
720039887,1
100321013,0
3723472271,1
3806483936,1
2318043963,0
3623683840,1
4038350240,1
24378751,1
202372611,1
4121276660,1
4259318848,1
2433801472,1
2431123490,1
1381774131,1
3704082383,1
3719262223,1
2982723471,1
167140598,0
2835559321,0
70607925,1
341171797,1
586035104,1
4174248013,1
2678003082,0
571592141,1
252126215,1
4284939416,0
2283022472,0
2800217839,1
570641663,1
341114828,1
2334225441,0
1404303547,0
255853311,1
4081033749,0
3423588559,1
58698551,1
1390116863,1
4071239920,0
97098137,0
488586011,1
4284920729,1
3713399787,1
3455055343,1
2750096042,1
84517030,1
1431510787,1
300073006,1
1442141276,0
1023370144,0
41881949,1
3721798179,1
504439341,0
1894414463,1
1882126378,1
212795223,0
133662880,1
4207259536,0
1719533628,0
2701131610,1
816883944,1
1378177024,1
3251159264,1
3316498592,1
1532691540,1
3945219208,0
3338006723,0
1969124862,1
2158980223,1
2634390282,0
1560207104,1
3235214640,0
4228076457,1
4121556570,1
4219692646,1
4014957263,1
330047423,1
4081316610,1
