Function,Class
1878252531,1
4059116473,1
4028707038,1
3422573104,1
3200142913,0
1147183264,1
3959090669,1
56233732,1
3996072883,1
2783051622,1
774638876,1
202332581,0
2857630211,1
50580973,1
1010812919,1
1066752499,0
857918509,0
2733635069,1
2919288060,1
4091790305,1
1774992399,1
2960161659,1
634398145,1
1665141504,1
2084859727,1
3878134442,1
1693314798,1
171651618,1
673776901,1
1953890208,1
504302593,1
2750394243,1
2934697711,1
922367689,0
679658291,1
1736703907,1
691073264,1
4278550405,1
355794995,1
1442446289,1
2866020412,1
4293848051,1
713749128,0
1070544846,1
3672165088,1
3331918421,0
3191258804,1
2513816965,0
1170344693,1
2423230522,0
858834629,0
1108493084,1
2104868400,0
101287433,1
1274328052,1
4007464656,0
1514427723,0
1143625727,1
4290740922,1
3287333088,1
1420758543,1
3840811076,1
3214627667,0
2197000435,1
4284876188,0
320062483,0
4187705855,1
4230083374,0
491315784,0
3789361442,0
1263071475,0
3228214950,0
1122162904,1
1078920076,1
1964044785,1
3955949429,1
1090190040,1
4240669548,1
3200135820,0
4106485920,1
792155583,0
3690797919,1
863983407,1
4038548091,1
260902846,1
3888506639,1
1076034572,1
4228688217,0
1328792320,1
1609919498,0
1066768793,0
490468667,1
3379164501,0
2868834352,1
94570927,1
671755520,1
4125908309,1
4090511328,1
3758820356,1
2932610048,1
1640002000,1
3481831304,1
635379920,1
1070541381,0
2273817810,1
3347572551,1
3702141183,1
1221585487,1
763210430,1
2340522658,1
4294065666,1
69075184,1
2119971771,0
1007667706,0
3525190161,0
1127206691,1
3231003494,0
4283235844,1
4044276238,0
2705648008,1
2581402589,1
867234752,1
504449867,0
2944662210,0
4107006976,1
3765218926,1
3611713367,1
1601183605,1
2930662993,0
3657414143,1
4294675852,1
540047164,1
2355331106,1
1974493141,1
1849651135,1
183935068,0
3715570740,0
4291604771,1
4227830531,1
137002794,1
3293298,1
3455027386,1
3739126356,0
4293972240,1
2751449087,1
359720304,1
1209878290,0
1660118268,0
206919936,0
2353309157,1
1827422400,1
535622143,1
4024610688,1
3841225651,1
605818879,1
2652779519,1
1493371990,0
720039887,1
1432018299,0
3623683840,1
4093703370,1
24378751,1
202372611,1
1697670758,0
4259318848,1
2433801472,1
760086335,1
1381774131,1
320031999,0
90388067,0
2982723471,1
2516169818,1
1171957,1
2835559321,0
100652357,1
70607925,1
3337995833,0
341171797,1
1106146013,0
586035104,1
4174248013,1
3299750143,1
571592141,1
252126215,1
3947112328,0
86313738,1
2283022472,0
2800217839,1
3444624860,0
1696933152,1
926385352,1
341114828,1
3423588559,1
1390116863,1
2952413237,1
2835128994,0
184813515,1
73986128,1
488586011,1
3713399787,1
3455055343,1
2750096042,1
1431510787,1
41881949,1
504439341,0
1882126378,1
1583300319,1
4207259536,0
3257864191,0
2701131610,1
816883944,1
3316498592,1
2600705292,0
3994987093,0
2435924803,1
428412108,0
4228076457,1
4121556570,1
4219692646,1
4014957263,1
2818960127,1
330047423,1
3743546869,1
3499544727,1
4241425253,0
2135970800,1
3322583466,0
811965082,0
