Function,Class,chunks0,chunks1,chunks2,chunks3,chunks4,ct,cube
1393551359,1,2,4,4,3,2,13,15
1878252531,1,2,3,3,3,2,14,19
4059116473,1,2,3,4,3,2,12,7
944864337,1,2,3,5,3,2,11,6
4037021646,1,2,3,4,3,2,11,8
4027577254,0,2,4,4,3,2,12,7
2196454570,1,2,3,3,2,2,16,12
1147183264,1,2,3,4,3,2,11,12
3271588027,0,2,4,4,3,2,14,9
3996072883,1,2,3,5,4,2,13,9
2003006915,1,2,4,4,3,2,14,16
2214792324,0,2,3,3,3,2,15,9
202332581,0,2,4,4,3,2,14,9
2857630211,1,2,3,4,3,2,10,6
3102949568,1,2,3,4,3,2,12,9
2835149730,0,2,3,3,3,2,14,10
4283468303,1,2,3,4,3,2,10,7
1010812919,1,2,3,3,3,2,10,7
1066752499,0,2,4,4,3,2,13,10
857918509,0,2,4,4,3,2,12,8
3260533343,0,2,3,3,3,2,11,6
2733635069,1,2,3,4,4,2,13,7
4016291779,1,2,3,4,3,2,13,10
1308558661,0,2,3,4,4,2,14,13
2919288060,1,2,3,4,3,2,10,7
4091790305,1,2,3,3,3,2,10,8
2785826556,0,2,4,2,2,2,12,9
2960161659,1,2,3,3,3,2,12,7
3188805887,0,2,4,4,3,2,12,8
2765097482,1,2,3,4,3,2,12,9
634398145,1,2,3,4,3,2,13,7
13377557,1,2,3,4,3,2,11,6
936241635,1,2,3,5,4,2,18,11
2084859727,1,2,3,5,4,2,12,14
1294955861,1,2,4,5,4,2,14,15
3878134442,1,2,4,4,3,2,13,8
1693314798,1,2,3,4,3,2,11,12
1024122112,1,2,4,4,3,2,11,8
171651618,1,2,3,5,3,2,11,7
3385517027,1,2,4,4,3,2,12,8
673776901,1,2,3,4,3,2,11,5
1953890208,1,2,3,5,3,2,11,12
2750394243,1,2,3,4,3,2,13,10
2934697711,1,2,2,3,3,2,9,6
4116003174,0,2,4,4,3,2,14,9
679658291,1,2,3,4,3,2,15,11
1718218465,0,2,4,2,2,2,15,19
691073264,1,2,3,3,3,2,12,8
4278550405,1,2,3,3,2,2,11,8
355794995,1,2,3,4,3,2,9,12
336878335,1,2,3,4,3,2,10,17
1442446289,1,2,3,5,4,2,15,19
2884140872,1,2,4,5,4,2,15,11
817688768,1,2,3,3,3,2,11,8
173690398,0,2,4,3,2,2,11,7
4293848051,1,2,3,4,3,2,12,9
713749128,0,2,3,4,3,2,13,10
1070544846,1,2,3,3,3,2,10,7
2428850181,0,2,4,3,2,2,12,7
1151686020,0,2,3,3,3,2,12,15
3672165088,1,2,3,3,3,2,9,8
4076904981,0,2,3,3,2,2,12,7
3191258804,1,2,3,4,3,2,9,7
766709509,1,2,4,5,3,2,15,8
2002078569,0,2,4,4,3,2,14,16
1899722496,1,2,3,5,3,2,14,14
202837091,1,2,4,5,3,2,14,8
3770888371,1,2,3,4,3,2,11,7
256897022,1,2,3,4,3,2,13,8
2823094816,0,2,3,3,3,2,15,9
858834629,0,2,4,4,3,2,12,8
1108493084,1,2,3,4,3,2,12,13
2104868400,0,2,3,3,3,2,16,18
101287433,1,2,3,3,3,2,13,13
2275771556,0,2,3,3,3,2,11,7
470929663,1,2,3,4,3,2,12,17
1599133656,0,2,4,3,2,2,12,15
1514427723,0,2,4,4,3,2,14,16
1143625727,1,2,3,4,3,2,12,13
2836046085,1,2,3,5,3,2,12,7
1420758543,1,2,3,4,3,2,11,12
3840811076,1,2,3,4,3,2,11,8
1265203029,0,2,4,4,3,2,14,17
2777483953,1,2,4,5,3,2,13,9
2197000435,1,2,3,4,3,2,12,7
2692919181,0,2,4,3,2,2,12,7
4187705855,1,2,4,5,4,2,14,9
1950652697,1,2,3,4,3,2,11,13
8973212,1,2,3,3,3,2,14,8
491315784,0,2,4,4,3,2,13,22
1944906867,0,2,3,3,2,2,16,22
258319823,0,2,4,4,3,2,14,10
3789361442,0,2,4,4,3,2,14,9
1263071475,0,2,4,3,3,2,11,12
