Function,Class,chunks0,chunks1,chunks2,chunks3,chunks4,ct,cube
1943798004,1,2,3,5,4,2,14,15
862584666,0,2,4,3,2,2,15,10
3382249817,0,2,4,4,3,2,12,8
1393551359,1,2,4,4,3,2,13,15
1878252531,1,2,3,3,3,2,14,19
1086345514,1,2,4,4,3,2,14,13
4028707038,1,2,4,4,3,2,15,9
2186940400,1,2,3,4,3,2,13,9
1147183264,1,2,3,4,3,2,11,12
888172799,1,2,3,4,3,2,10,7
3357801135,0,2,3,3,3,2,14,9
3996072883,1,2,3,5,4,2,13,9
1346559040,1,2,4,4,3,2,14,15
1869569135,0,2,4,3,2,2,12,15
202332581,0,2,4,4,3,2,14,9
1549373589,0,2,4,4,3,2,14,16
2835149730,0,2,3,3,3,2,14,10
50580973,1,2,3,4,3,2,9,5
2733635069,1,2,3,4,4,2,13,7
3435192558,0,2,3,3,3,2,11,7
2230246783,1,2,4,5,3,2,14,9
2919288060,1,2,3,4,3,2,10,7
4091790305,1,2,3,3,3,2,10,8
1774992399,1,2,4,4,3,2,16,18
4054060558,0,2,4,4,3,2,12,9
2960161659,1,2,3,3,3,2,12,7
634398145,1,2,3,4,3,2,13,7
1253760766,1,2,3,4,3,2,14,16
13377557,1,2,3,4,3,2,11,6
2084859727,1,2,3,5,4,2,12,14
547791492,1,2,3,4,3,2,14,9
3878134442,1,2,4,4,3,2,13,8
3974135028,1,2,4,4,3,2,12,8
673776901,1,2,3,4,3,2,11,5
1953890208,1,2,3,5,3,2,11,12
2750394243,1,2,3,4,3,2,13,10
2934697711,1,2,2,3,3,2,9,6
4245732373,1,2,4,5,3,2,14,8
1718218465,0,2,4,2,2,2,15,19
691073264,1,2,3,3,3,2,12,8
4278550405,1,2,3,3,2,2,11,8
355794995,1,2,3,4,3,2,9,12
336878335,1,2,3,4,3,2,10,17
1442446289,1,2,3,5,4,2,15,19
1070544846,1,2,3,3,3,2,10,7
2011885632,0,2,3,4,4,2,12,14
3672165088,1,2,3,3,3,2,9,8
2622492656,0,2,4,4,3,2,12,8
2400134505,1,2,4,3,3,2,16,11
3220074286,1,2,3,4,3,2,14,9
2860685697,0,2,3,3,3,2,12,8
2797643370,0,2,4,4,3,2,14,10
256897022,1,2,3,4,3,2,13,8
2423230522,0,2,4,4,3,2,14,10
2823094816,0,2,3,3,3,2,15,9
2818877442,0,2,3,4,3,2,12,7
2104855688,0,2,3,4,3,2,12,14
1108493084,1,2,3,4,3,2,12,13
3128461528,1,2,4,5,4,2,15,10
2104868400,0,2,3,3,3,2,16,18
101287433,1,2,3,3,3,2,13,13
1916039719,1,2,4,4,3,2,14,14
470929663,1,2,3,4,3,2,12,17
2901610235,0,2,3,3,3,2,12,9
4007464656,0,2,3,3,3,2,14,10
3671853776,1,2,3,4,4,2,12,9
1514427723,0,2,4,4,3,2,14,16
1143625727,1,2,3,4,3,2,12,13
4290740922,1,2,3,4,4,2,13,9
2836046085,1,2,3,5,3,2,12,7
3287333088,1,2,3,4,3,2,15,11
1420758543,1,2,3,4,3,2,11,12
2197000435,1,2,3,4,3,2,12,7
8973212,1,2,3,3,3,2,14,8
258319823,0,2,4,4,3,2,14,10
3789361442,0,2,4,4,3,2,14,9
1263071475,0,2,4,3,3,2,11,12
16982979,1,2,3,4,3,2,10,17
1122162904,1,2,3,5,3,2,11,12
4288643999,1,2,3,3,3,2,11,9
1090190040,1,2,3,3,3,2,10,14
1428815935,0,2,3,3,2,2,10,11
4106485920,1,2,3,4,3,2,10,8
4037678110,1,2,4,5,3,2,11,7
3456826704,1,2,3,3,3,2,13,9
441094250,1,2,3,4,3,2,13,21
4038548091,1,2,3,4,3,2,15,9
260902846,1,2,4,4,3,2,11,7
1328792320,1,2,3,4,3,2,10,12
2178916572,1,2,4,5,3,2,14,8
3389192942,1,2,3,4,4,2,14,8
1609919498,0,2,4,4,3,2,14,18
2868834352,1,2,3,4,3,2,10,7
671755520,1,2,3,3,3,2,11,7
3488276275,1,2,4,4,4,2,13,8
4125908309,1,2,3,5,3,2,11,9
61429500,0,2,4,2,2,2,12,8
2070969099,0,2,3,3,3,2,14,16
856805189,0,2,3,2,2,2,11,6
3481831304,1,2,3,4,3,2,10,8
635379920,1,2,3,4,3,2,10,7
2273817810,1,2,2,3,3,2,18,10
3347572551,1,2,3,5,3,2,12,9
1090126070,1,2,3,3,3,2,12,13
3702141183,1,2,3,4,3,2,9,7
1221585487,1,2,3,4,3,2,13,15
1607503816,0,2,3,4,3,2,14,16
4278502975,1,2,3,4,3,2,14,8
1007640428,0,2,4,4,3,2,14,9
1329794818,1,2,3,3,3,2,9,11
178937958,0,2,3,3,3,2,12,7
4294065666,1,2,3,4,3,2,11,9
69075184,1,2,3,3,3,2,11,10
3477585968,1,2,3,4,3,2,11,7
660799471,1,2,3,4,3,2,10,7
3044386647,0,2,3,3,3,2,12,8
4283235844,1,2,3,3,3,2,12,9
2581402589,1,2,3,4,3,2,10,6
867234752,1,2,3,4,3,2,10,8
1146768213,0,2,4,4,3,2,14,16
3611713367,1,2,3,4,3,2,11,8
13578439,1,2,3,3,3,2,10,6
1599448458,1,2,3,3,3,2,12,14
3806443444,0,2,4,4,3,2,14,9
1413443599,1,2,3,4,3,2,12,13
4294675852,1,2,3,4,3,2,10,8
3256879232,1,2,3,3,3,2,14,12
1974493141,1,2,4,5,3,2,14,15
1849651135,1,2,3,4,3,2,13,13
183935068,0,2,4,4,3,2,14,10
581374389,0,2,3,3,3,2,14,8
3622139767,1,2,3,4,3,2,13,9
137002794,1,2,3,4,3,2,8,5
3462826530,0,2,3,4,3,2,8,6
3293298,1,2,3,3,3,2,8,4
3455027386,1,2,3,4,3,2,10,6
3739126356,0,2,3,3,3,2,14,10
2304713599,1,2,3,5,3,2,12,7
4293972240,1,2,3,3,3,2,10,7
2751449087,1,2,2,4,3,2,10,7
2353309157,1,2,3,5,3,2,13,8
1827422400,1,2,3,4,3,2,9,12
4024610688,1,2,3,4,4,2,13,10
3841225651,1,2,3,4,3,2,13,10
2231502088,1,2,3,4,3,2,12,8
2578133504,1,2,4,4,3,2,11,8
1493371990,0,2,4,4,3,2,13,15
104138246,0,2,4,3,2,2,12,12
82784499,1,2,3,5,3,2,12,14
1426066525,0,2,3,3,2,2,10,9
720039887,1,2,3,4,3,2,10,8
4207998929,1,2,3,4,3,2,13,7
100321013,0,2,4,4,3,2,14,16
3806483936,1,2,3,4,3,2,11,9
3623683840,1,2,3,4,3,2,13,9
3200139842,0,2,2,3,2,1,10,8
1644493317,0,2,3,3,3,2,12,13
24378751,1,2,3,3,4,2,11,24
202372611,1,2,4,4,3,2,12,7
4259318848,1,2,3,4,4,2,12,9
2433801472,1,2,3,4,3,2,11,7
760086335,1,2,4,5,3,2,13,9
1381774131,1,2,4,4,3,2,9,10
3719262223,1,2,4,5,3,2,12,8
2982723471,1,2,4,4,4,2,15,9
2055165237,1,2,3,5,3,2,12,14
1171957,1,2,3,4,3,2,11,16
2835559321,0,2,4,4,3,2,14,9
3974234127,1,2,3,4,3,2,10,7
677370031,0,2,4,4,3,2,14,10
100652357,1,2,3,4,3,2,12,12
3337995833,0,2,4,2,2,2,15,10
341171797,1,2,3,4,3,2,12,16
4174248013,1,2,3,4,3,2,11,7
1442124852,0,2,3,3,3,2,11,12
2678003082,0,2,3,3,3,2,14,9
571592141,1,2,3,4,3,2,9,5
252126215,1,2,3,3,3,2,12,7
3947112328,0,2,4,4,3,2,14,10
2800217839,1,2,3,4,3,2,10,6
4258262236,1,2,2,4,3,2,11,8
341114828,1,2,3,4,3,2,9,17
