Function,Class,chunks0,chunks1,chunks2,chunks3,chunks4,ct,cube
4024610688,1,2,3,4,4,2,13,10
3841225651,1,2,3,4,3,2,13,10
605818879,1,2,4,5,3,2,12,8
2652779519,1,2,4,4,3,2,11,8
1493371990,0,2,4,4,3,2,13,15
720039887,1,2,3,4,3,2,10,8
1432018299,0,2,3,3,3,2,12,13
3623683840,1,2,3,4,3,2,13,9
4093703370,1,2,3,4,3,2,9,7
24378751,1,2,3,3,4,2,11,24
202372611,1,2,4,4,3,2,12,7
1697670758,0,2,4,4,3,2,12,14
4259318848,1,2,3,4,4,2,12,9
2433801472,1,2,3,4,3,2,11,7
760086335,1,2,4,5,3,2,13,9
1381774131,1,2,4,4,3,2,9,10
320031999,0,2,3,3,2,2,9,16
90388067,0,2,4,4,3,2,14,16
2982723471,1,2,4,4,4,2,15,9
2516169818,1,2,4,6,4,2,18,11
1171957,1,2,3,4,3,2,11,16
2835559321,0,2,4,4,3,2,14,9
100652357,1,2,3,4,3,2,12,12
70607925,1,2,3,5,3,2,11,11
3337995833,0,2,4,2,2,2,15,10
341171797,1,2,3,4,3,2,12,16
1106146013,0,2,4,4,3,2,14,16
586035104,1,2,3,4,3,2,11,8
4174248013,1,2,3,4,3,2,11,7
3299750143,1,2,4,4,3,2,13,9
571592141,1,2,3,4,3,2,9,5
252126215,1,2,3,3,3,2,12,7
3947112328,0,2,4,4,3,2,14,10
86313738,1,2,3,4,3,2,11,10
2283022472,0,2,3,3,3,2,15,10
2800217839,1,2,3,4,3,2,10,6
3444624860,0,2,3,3,3,2,11,7
1696933152,1,2,3,4,3,2,10,12
926385352,1,2,4,4,3,2,12,8
341114828,1,2,3,4,3,2,9,17
3423588559,1,2,3,4,3,2,11,7
1390116863,1,2,3,4,4,2,14,14
2952413237,1,2,4,4,3,2,14,8
2835128994,0,2,3,3,3,2,11,8
184813515,1,2,4,5,3,2,15,9
73986128,1,2,3,5,3,2,15,16
488586011,1,2,3,4,3,2,10,16
3713399787,1,2,3,4,3,2,10,8
3455055343,1,2,3,4,3,2,11,7
2750096042,1,2,3,4,3,2,12,8
1431510787,1,2,3,5,4,2,12,11
41881949,1,2,3,4,3,2,10,6
504439341,0,2,4,4,3,2,13,21
1882126378,1,2,4,5,3,2,13,15
1583300319,1,2,3,5,3,2,11,14
4207259536,0,2,4,4,3,2,14,10
3257864191,0,2,3,3,3,2,12,8
2701131610,1,2,2,3,2,1,9,7
816883944,1,2,3,4,3,2,13,9
3316498592,1,2,3,4,3,2,10,8
2600705292,0,2,3,3,3,2,14,8
3994987093,0,2,4,4,3,2,12,8
2435924803,1,2,3,4,3,2,13,8
428412108,0,2,3,3,2,2,12,19
