&ands&xors\\
1&[2]&[6, 3, 4]\\
3&[2, 3]&[6, 4]\\
5&[0, 3]&[1, 2, 4]\\
7&[0, 4]&[6, 3]\\
12&[7, 4]&[5, 1, 3]\\
13&[1, 9]&[5, 3]\\
14&[1, 4]&[5, 3]\\
15&[4]&[0, 2]\\
19&[6, 3]&[0, 2, 4]\\
22&[0, 4]&[6, 2, 3]\\
23&[5, 2]&[6, 3, 4]\\
24&[9]&[0, 1, 2]\\
28&[2]&[6, 3]\\
29&[]&[6, 2, 4]\\
30&[1, 3]&[5]\\
32&[6, 2]&[0, 3, 4]\\
34&[1, 4]&[7, 3]\\
38&[2]&[0, 1, 3]\\
50&[5, 8]&[6, 2]\\
51&[9]&[5, 1, 3]\\
52&[0, 9]&[6, 2, 3]\\
53&[0, 3]&[7, 4]\\
55&[2]&[0, 1, 3, 4]\\
59&[5]&[6, 4]\\
61&[5, 8]&[1, 2, 4]\\
63&[4]&[6, 3]\\
64&[]&[0, 4]\\
66&[8]&[1, 4]\\
67&[]&[0, 2, 4]\\
68&[0, 8]&[1, 2]\\
70&[0]&[8, 4]\\
73&[0, 4]&[7, 3]\\
75&[0, 1]&[7, 3]\\
76&[1, 8]&[5, 2, 4]\\
79&[5, 1]&[2, 3, 4]\\
82&[4]&[5, 1]\\
83&[7, 9]&[0, 1, 3]\\
84&[0, 1]&[2, 4]\\
88&[1, 7]&[5, 4]\\
91&[6]&[7, 3, 4]\\
94&[8]&[1, 2, 4]\\
96&[9]&[2, 3]\\
98&[6, 3]&[5, 2, 4]\\
99&[1, 2]&[5, 4]\\
100&[1]&[7, 4]\\
101&[5, 3]&[6, 2, 4]\\
102&[7]&[5, 3, 4]\\
104&[1, 8]&[5, 2]\\
105&[3, 4]&[5, 1, 2]\\
108&[8, 4]&[0, 1, 2]\\
110&[6]&[5, 2, 3]\\
111&[7]&[6, 3, 4]\\
116&[2]&[3, 4]\\
117&[0, 2]&[1, 4]\\
118&[0, 1]&[7, 3, 4]\\
120&[4]&[5, 1, 3]\\
121&[3]&[6, 2, 4]\\
123&[4]&[0, 3]\\
128&[8, 9]&[0, 2]\\
131&[0, 2]&[1, 3]\\
133&[0, 3]&[1, 4]\\
137&[5]&[1, 2, 3]\\
141&[8]&[0, 1, 2, 4]\\
142&[7]&[6, 3]\\
144&[4]&[5, 1, 2, 3]\\
147&[7, 8]&[5, 1, 4]\\
148&[0, 2]&[3, 4]\\
150&[6]&[5, 2, 4]\\
151&[2, 3]&[0, 1]\\
154&[1, 9]&[0, 2, 3]\\
157&[8]&[7, 4]\\
158&[0, 2]&[6, 3, 4]\\
159&[5, 4]&[2, 3]\\
161&[4]&[5, 2, 3]\\
163&[1, 2]&[0, 3, 4]\\
164&[1, 3]&[5, 2, 4]\\
166&[6, 7]&[0, 3, 4]\\
168&[2, 3]&[0, 1, 4]\\
172&[6]&[0, 2, 3, 4]\\
173&[6]&[0, 3]\\
176&[0, 3]&[6, 2]\\
182&[0]&[6, 2, 3, 4]\\
183&[1, 3]&[0, 2]\\
184&[1]&[8, 4]\\
186&[3]&[2, 4]\\
187&[6, 9]&[5, 2, 3]\\
188&[5, 7]&[1, 3, 4]\\
194&[7, 3]&[5, 1, 4]\\
195&[2]&[5, 3, 4]\\
198&[0, 4]&[6, 2]\\
199&[2]&[0, 1]\\
