&c&r0&r1&r2&r3&r4&r5\\
26&31&0&-4&6&0&2&7\\
36&31&4&3&2&1&0&0\\
42&15&4&3&2&1&0&-1\\
65&15&4&3&2&1&0&-1\\
69&15&4&3&2&1&0&-1\\
72&15&4&3&2&1&0&-1\\
77&15&4&3&2&1&0&-1\\
78&15&4&3&2&1&0&-1\\
95&15&4&3&2&1&0&-1\\
97&15&4&3&2&1&0&-1\\
113&15&4&3&2&1&0&-1\\
114&15&4&3&2&1&0&-1\\
119&31&4&3&2&1&0&0\\
125&31&4&3&2&1&0&0\\
129&31&4&3&2&1&0&0\\
134&15&4&3&2&1&0&-1\\
140&31&4&3&2&1&0&0\\
162&15&4&3&2&1&0&-1\\
165&15&4&3&2&1&0&-1\\
180&15&4&3&2&1&0&-1\\
181&31&-4&1&0&-1&0&0\\
190&15&4&3&2&1&0&-1\\
193&15&4&3&2&1&0&-1\\
