0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2.63144962e-09,-1.15570496e-14,-1.22001243e-09,-2.18494418e-05,-3.35643382e-09,1.93281211e-07,-5.9362115e-12,1.29735876e-05,-3.67436067e-06,4.67352685e-15,-2.82570697e-14,-7.79918131e-06,-2.0384626e-12,1.34817949e-15,-2.59734193e-13,-1.17729581e-06,-2.83658805e-13,2.39892435e-16,-0.000229307907,-2.79291714e-10,-6.47098452e-12,-7.81150363e-07,4.28211018e-10,4.74485625e-14,-1.80519026e-11,-9.79059315e-11,2.85933372e-14,6.81358964e-11,-1.29664965e-09,-2.6997e-319,-1.89569929e-09,-1.20692256e-11
0.0042376887,-0.000322206021,-0.0107596927,0.00574763816,0.214745071,-0.278119672,-0.208188206,0.288423143,0.0067088765,0.00650822427,-0.000134304906,-0.00603239849,-0.211906625,0.28217628,0.199844773,-0.289840046,0.00808975568,0.000679681317,-0.00233217267,-0.002490116,0.218052672,-0.272775574,-0.199664603,0.283820963,0.00613844552,0.00153571247,-0.00705644004,-0.00969576375,-0.20801952,0.280170382,0.198290474,-0.280281441
1.96166904e-08,1.77492087e-10,-5.91454856e-05,-1.23883025e-12,3.36202868e-10,-1.16231474e-08,6.82415808e-09,2.48825292e-07,3.65973241e-15,-2.92927847e-14,-1.60533366e-05,-1.72933346e-12,-3.75958326e-14,4.88455473e-06,2.11651225e-14,-7.81591686e-05,1.35763046e-10,-9.6477357e-08,1.06208238e-10,-0.000713534576,-1.66531006e-12,1.08576397e-05,-0.000692238659,-1.16487497e-06,4.35932477e-07,1.32749551e-15,-8.68688584e-10,1.13576138e-09,3.98375555e-05,-3.58820172e-08,-6.43908367e-14,-2.10904577e-09
-0.0029244888,0.000736300887,0.00550444567,-0.0166115044,-0.00689918207,-0.00205293352,0.401414331,-0.336112848,-0.0106722374,-0.012130711,-0.00149750556,0.0152680587,0.00455009614,0.00297024966,-0.408925304,0.335496804,-0.00688824327,0.00710776316,0.00410920662,-0.0160994803,-0.00169860508,-0.00872559141,0.399867246,-0.337774953,-0.0118350088,-0.000131753779,-0.00168620452,0.00709788446,-0.00554162969,-0.00890227282,-0.406470915,0.329635299
-1.45512095e-12,4.09580771e-13,-2.12684052e-10,-3.01045913e-12,-3.2201876e-05,-7.54532896e-09,-4.7258701e-11,9.95064386e-16,5.30648283e-15,-1.34884969e-12,-2.43592068e-10,-1.28096487e-12,-1.30635528e-05,-3.76020333e-09,-1.16646673e-05,-1.46247359e-06,1.11761706e-12,-1.51990716e-14,-2.76743428e-08,-1.78378951e-13,2.07558974e-05,1.10806036e-05,5.6297414e-14,-1.17038959e-10,-4.64678989e-08,1.80731674e-05,1.01620123e-07,5.226524e-14,-4.52265096e-15,-0.000220553582,1.04936612e-10,-1.66279975e-10
0.01141797,-0.00939568,-0.00593296,-0.00455663,-0.00968618,-0.00441405,0.00227688,0.00827591,-0.00267002,-0.00112134,0.00429653,0.00705024,0.00391162,-0.00175722,-0.00521263,-0.00322238,-0.01189858,0.00033236,-0.14698909,0.14027481,0.01279699,-0.00660098,0.14469036,-0.13623978,0.00333069,0.00436971,0.14842893,-0.14858893,-0.00621237,0.00109105,-0.13275489,0.13750959
-2.83425018e-13,-3.24133843e-08,4.34538531e-15,-4.78545437e-08,-1.61529176e-05,-2.37434126e-14,-1.2388485e-15,-2.82254969e-06,3.69668263e-13,-4.5032068e-13,-1.34847854e-14,5.28784347e-07,-2.55189513e-15,-4.62050934e-15,3.58726614e-12,-1.08744017e-07,-8.06634863e-11,-9.47177116e-06,-1.17355927e-06,5.48379921e-10,8.77788191e-11,-4.09742847e-07,-3.03750401e-07,-9.19972829e-09,1.98488867e-15,-1.14877687e-11,-1.032503e-318,-1.1042781e-12,-1.17262672e-13,-1.08552822e-05,-6.62561564e-10,-4.3826791e-08
-0.00136951,0.00063647,0.00457551,-0.00355026,-0.00108358,-0.01445295,-0.00081514,0.00248274,-0.01008183,0.00043713,0.00274258,0.00519334,-0.00346783,-0.00289169,-0.00158846,-0.00545053,-0.05772673,0.33348645,0.04215323,-0.34025616,-0.04961794,0.33948956,0.03755959,-0.3487603,0.04828457,-0.33397054,-0.0390651,0.34498072,0.04325185,-0.34700546,-0.03669702,0.34286951
5.69551019e-14,4.28664146e-08,3.05392803e-06,6.55446941e-05,-2.74218148e-05,3.79972085e-15,-1.59828338e-10,6.03627731e-12,-1.9577128e-15,7.20255939e-16,4.05394229e-13,-3.6271303e-11,-4.80557986e-13,-3.87348779e-12,-3.20234538e-09,1.39505321e-14,1.19381612e-13,-1.70847522e-13,-1.26486021e-15,2.24359074e-07,9.89395007e-12,-4.49103945e-05,-3.07915555e-15,6.55633452e-09,3.05912613e-11,3.73764763e-15,-4.6111314e-08,8.73896501e-07,-1.23228882e-10,-4.90290238e-14,6.89248368e-11,-2.9163702e-10
3.66299806e-16,7.34107795e-09,-5.97235454e-11,-3.84116145e-07,-2.9249157e-11,-1.02678508e-08,5.66426344e-14,9.72055703e-16,1.73020487e-08,-8.31644963e-15,7.20808518e-10,2.03549386e-09,-6.19801197e-08,-1.11572678e-08,-0.000180087421,6.91070913e-05,1.56282958e-14,1.59011209e-08,8.17230298e-07,-6.30065619e-05,-5.32967258e-16,7.70346499e-07,-5.83810633e-14,-6.5329035e-16,-6.71552887e-13,1.27602373e-06,-1.72185871e-07,5.71877615e-11,3.63198281e-15,-3.60554063e-12,-4.63453768e-05,-9.90770125e-06
